seq_id	superkingdom	kingdom	superphylum	phylum	subphylum	superclass	class	subclass	superorder	order	suborder	superfamily	family	subfamily	genus	subgenus	species 
b9146	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	Candidatus Baumannia cicadellinicola
b12769	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	-	-	-	-	[Bacteroides] pectinophilus
b22880	Bacteria	-	-	Bacteroidetes	-	-	Flavobacteriia	-	-	Flavobacteriales	-	-	-	-	-	-	Candidatus Uzinura diaspidicola
b14546	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Clostridiales Family XIII. Incertae Sedis	-	-	-	[Eubacterium] saphenum
b20411	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Clostridiales Family XIII. Incertae Sedis	-	-	-	[Eubacterium] infirmum
b28065	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Clostridiales Family XIII. Incertae Sedis	-	-	-	[Eubacterium] brachy
b28194	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Clostridiales Family XIII. Incertae Sedis	-	-	-	[Eubacterium] nodatum
b6814	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Lachnospiraceae	-	-	-	[Eubacterium] rectale
b14160	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Lachnospiraceae	-	-	-	[Eubacterium] rectale
b16656	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Lachnospiraceae	-	-	-	[Eubacterium] rectale
b16657	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Lachnospiraceae	-	-	-	[Eubacterium] rectale
b6831	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Pasteurellales	-	-	Pasteurellaceae	-	-	-	[Pasteurella] aerogenes
b6832	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Pasteurellales	-	-	Pasteurellaceae	-	-	-	[Pasteurella] mairii
b29245	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Peptostreptococcaceae	-	-	-	[Clostridium] thermoalcaliphilum
b6793	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	-	-	[Clostridium] leptum
