accession	species
AB602820	Lactobacillus farraginis
AB602821	Lactobacillus kisonensis
AB602823	Lactobacillus parafarraginis
AB748613	Lactobacillus oryzae
AB748614	Lactobacillus oryzae
AB748615	Lactobacillus oryzae
AB910351	Lactobacillus furfuricola
AB910352	Lactobacillus furfuricola
AHYZ01000031	Liquorilactobacillus vini
AJ843387	Enterococcus faecalis
ALPY01000044	Lactobacillus delbrueckii
AM086432	Lactobacillus helveticus
AM086433	Lactobacillus suntoryeus
AM086434	Lactobacillus helveticus
AM087677	Lactobacillus acidophilus
AM087678	Lactobacillus amylovorus
AM087679	Lactobacillus animalis
AM087680	Lactobacillus brevis
AM087681	Lactobacillus buchneri
AM087682	Lactobacillus casei
AM087683	Lactobacillus coleohominis
AM087684	Lactobacillus coryniformis
AM087685	Lactobacillus coryniformis
AM087686	Lactobacillus crispatus
AM087687	Lactobacillus cypricasei
AM087688	Lactobacillus delbrueckii
AM087689	Lactobacillus delbrueckii
AM087690	Lactobacillus delbrueckii
AM087691	Lactobacillus delbrueckii
AM087692	Lactobacillus ferintoshensis
AM087693	Lactobacillus fermentum
AM087694	Lactobacillus gallinarum
AM087695	Lactobacillus gasseri
AM087696	Lactobacillus gastricus
AM087697	Lactobacillus helveticus
AM087698	Lactobacillus hilgardii
AM087699	Lactobacillus iners
AM087700	Lactobacillus intestinalis
AM087701	Lactobacillus johnsonii
AM087702	Lactobacillus kalixensis
AM087703	Lactobacillus kefiranofaciens
AM087704	Lactobacillus lindneri
AM087705	Lactobacillus kimchii
AM087706	Lactobacillus mindensis
AM087707	Lactobacillus mucosae
AM087708	Lactobacillus nagelii
AM087709	Lactobacillus oris
AM087710	Lactobacillus paracasei
AM087711	Lactobacillus paracasei
AM087712	Lactobacillus paralimentarius
AM087713	Lactobacillus pentosus
AM087714	Lactobacillus plantarum
AM087715	Lactobacillus pontis
AM087716	Lactobacillus rhamnosus
AM087717	Lactobacillus saerimneri
AM087718	Lactobacillus sakei
AM087719	Lactobacillus sakei
AM087720	Lactobacillus salivarius
AM087721	Lactobacillus salivarius
AM087722	Lactobacillus suntoryeus
AM087723	Lactobacillus thermotolerans
AM087724	Lactobacillus amylolyticus
AM087725	Lactobacillus panis
AM087726	Lactobacillus parabuchneri
AM087727	Lactobacillus paraplantarum
AM087728	Lactobacillus reuteri
AM087729	Lactobacillus farciminis
AM087730	Lactobacillus collinoides
AM087731	Lactobacillus ingluviei
AM087732	Lactobacillus manihotivorans
AM087733	Lactobacillus acetotolerans
AM087734	Lactobacillus agilis
AM087735	Lactobacillus amylophilus
AM087736	Lactobacillus arizonensis
AM087737	Lactobacillus aviarius
AM087738	Lactobacillus bifermentans
AM087739	Lactobacillus durianis
AM087740	Lactobacillus equi
AM087741	Lactobacillus frumenti
AM087742	Lactobacillus graminis
AM087743	Lactobacillus hamsteri
AM087744	Lactobacillus jensenii
AM087745	Lactobacillus kefiranofaciens
AM087746	Lactobacillus mali
AM087747	Lactobacillus pantheris
AM087748	Lactobacillus perolens
AM087749	Lactobacillus psittaci
AM087750	Lactobacillus vaccinostercus
AM087751	Lactobacillus vaginalis
AM087752	Lactobacillus spicheri
AM087753	Lactobacillus zymae
AM087754	Lactobacillus sanfranciscensis
AM087755	Lactobacillus versmoldensis
AM087756	Lactobacillus ruminis
AM087757	Lactobacillus acidifarinae
AM087758	Lactobacillus curvatus
AM087760	Lactobacillus murinus
AM087761	Lactobacillus zeae
AM087762	Lactobacillus acidipiscis
AM087763	Lactobacillus diolivorans
AM087764	Lactobacillus paracollinoides
AM087765	Lactobacillus sharpeae
AM087766	Lactobacillus fuchuensis
AM087767	Lactobacillus hammesii
AM087768	Lactobacillus rossii
AM087769	Lactobacillus satsumensis
AM087770	Lactobacillus fructivorans
AM087771	Lactobacillus homohiochii
AM087772	Lactobacillus suebicus
AM087773	Lactobacillus kunkeei
AM157781	Lactobacillus casei
AM157782	Lactobacillus gallinarum
AM157783	Lactobacillus helveticus
AM157784	Lactobacillus helveticus
AM157785	Lactobacillus helveticus
AM157786	Lactobacillus helveticus
AM157787	Lactobacillus suntoryeus
AM159099	Lactobacillus parabrevis
AM168426	Lactobacillus acidipiscis
AM168427	Lactobacillus cypricasei
AM168428	Lactobacillus cypricasei
AM168429	Lactobacillus cypricasei
AM236139	Lactobacillus amylotrophicus
AM236140	Lactobacillus amylotrophicus
AM236141	Lactobacillus amylophilus
AM236142	Lactobacillus amylophilus
AM236143	Lactobacillus amylophilus
AM259120	Lactobacillus namurensis
AM259121	Lactobacillus namurensis
AM263502	Lactobacillus antri
AM263503	Lactobacillus hammesii
AM263504	Lactobacillus algidus
AM263505	Lactobacillus malefermentans
AM263506	Lactobacillus kitasatonis
AM263507	Lactobacillus ultunensis
AM263508	Lactobacillus kefiri
AM263509	Lactobacillus alimentarius
AM263510	Lactobacillus parakefiri
AM269572	partial Streptococcus
AM284176	Lactobacillus acidophilus
AM284177	Lactobacillus amylolyticus
AM284178	Lactobacillus amylolyticus
AM284179	Lactobacillus amylovorus
AM284180	Lactobacillus amylovorus
AM284181	Lactobacillus animalis
AM284182	Lactobacillus brevis
AM284183	Lactobacillus buchneri
AM284184	Lactobacillus collinoides
AM284185	Lactobacillus delbrueckii
AM284186	Lactobacillus delbrueckii
AM284187	Lactobacillus delbrueckii
AM284188	Lactobacillus delbrueckii
AM284189	Lactobacillus fermentum
AM284190	Lactobacillus fermentum
AM284191	Lactobacillus fructivorans
AM284192	Lactobacillus gallinarum
AM284193	Lactobacillus gallinarum
AM284194	Lactobacillus gasseri
AM284195	Lactobacillus gasseri
AM284196	Lactobacillus gasseri
AM284197	Lactobacillus hilgardii
AM284198	Lactobacillus hilgardii
AM284199	Lactobacillus iners
AM284200	Lactobacillus iners
AM284201	Lactobacillus intestinalis
AM284202	Lactobacillus johnsonii
AM284203	Lactobacillus johnsonii
AM284204	Lactobacillus mucosae
AM284205	Lactobacillus paracasei
AM284206	Lactobacillus paracasei
AM284207	Lactobacillus paracasei
AM284208	Lactobacillus paracasei
AM284209	Lactobacillus paraplantarum
AM284210	Lactobacillus paraplantarum
AM284211	Lactobacillus pentosus
AM284212	Lactobacillus plantarum
AM284213	Lactobacillus plantarum
AM284214	Lactobacillus pontis
AM284215	Lactobacillus rhamnosus
AM284216	Lactobacillus rhamnosus
AM284217	Lactobacillus rhamnosus
